name,wikiname,party,state,district,area,term,source,start_date,end_date,id
Bob Dechert,Bob Dechert,Conservative,Ontario,Mississauga—Erindale,Ontario (Mississauga—Erindale),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,bob-dechert
Stella Ambler,Stella Ambler,Conservative,Ontario,Mississauga South,Ontario (Mississauga South),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,stella-ambler
Brad Butt,Brad Butt,Conservative,Ontario,Mississauga—Streetsville,Ontario (Mississauga—Streetsville),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,brad-butt
Pierre Poilievre,Pierre Poilievre,Conservative,Ontario,Nepean—Carleton,Ontario (Nepean—Carleton),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,pierre-poilievre
Lois Brown,Lois Brown,Conservative,Ontario,Newmarket—Aurora,Ontario (Newmarket—Aurora),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,lois-brown
Rob Nicholson,Rob Nicholson,Conservative,Ontario,Niagara Falls,Ontario (Niagara Falls),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,rob-nicholson
Dean Allison,Dean Allison,Conservative,Ontario,Niagara West—Glanbrook,Ontario (Niagara West—Glanbrook),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,dean-allison
Claude Gravelle,Claude Gravelle,NDP,Ontario,Nickel Belt,Ontario (Nickel Belt),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,claude-gravelle
Jay Aspin,Jay Aspin,Conservative,Ontario,Nipissing—Timiskaming,Ontario (Nipissing—Timiskaming),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,jay-aspin
Rick Norlock,Rick Norlock,Conservative,Ontario,Northumberland—Quinte West,Ontario (Northumberland—Quinte West),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,rick-norlock
Terence Young,Terence Young (politician),Conservative,Ontario,Oakville,Ontario (Oakville),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,terence-young
Paul Calandra,Paul Calandra,Conservative,Ontario,Oak Ridges—Markham,Ontario (Oak Ridges—Markham),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,paul-calandra
Colin Carrie,Colin Carrie,Conservative,Ontario,Oshawa,Ontario (Oshawa),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,colin-carrie
Paul Dewar,Paul Dewar,NDP,Ontario,Ottawa Centre,Ontario (Ottawa Centre),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,paul-dewar
Royal Galipeau,Royal Galipeau,Conservative,Ontario,Ottawa—Orléans,Ontario (Ottawa—Orléans),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,royal-galipeau
David McGuinty,David McGuinty,Liberal,Ontario,Ottawa South,Ontario (Ottawa South),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,david-mcguinty
Mauril Bélanger,Mauril Bélanger,Liberal,Ontario,Ottawa—Vanier,Ontario (Ottawa—Vanier),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,mauril-bélanger
John Baird,John Baird (Canadian politician),Conservative,Ontario,Ottawa West—Nepean,Ontario (Ottawa West—Nepean),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,2015-03-16,,john-baird
Dave MacKenzie,Dave MacKenzie (politician),Conservative,Ontario,Oxford,Ontario (Oxford),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,dave-mackenzie
Peggy Nash,Peggy Nash,NDP,Ontario,Parkdale—High Park,Ontario (Parkdale—High Park),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,peggy-nash
Tony Clement,Tony Clement,Conservative,Ontario,Parry Sound—Muskoka,Ontario (Parry Sound—Muskoka),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,tony-clement
Gary Schellenberger,Gary Schellenberger,Conservative,Ontario,Perth—Wellington,Ontario (Perth—Wellington),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,gary-schellenberger
Dean Del Mastro,Dean Del Mastro,Conservative,Ontario,Peterborough,Ontario (Peterborough),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,2014-11-05,,dean-del-mastro
Corneliu Chisu,Corneliu Chisu,Conservative,Ontario,Pickering—Scarborough East,Ontario (Pickering—Scarborough East),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,corneliu-chisu
Daryl Kramp,Daryl Kramp,Conservative,Ontario,Prince Edward—Hastings,Ontario (Prince Edward—Hastings),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,daryl-kramp
Cheryl Gallant,Cheryl Gallant,Conservative,Ontario,Renfrew—Nipissing—Pembroke,Ontario (Renfrew—Nipissing—Pembroke),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,cheryl-gallant
Costas Menegakis,Costas Menegakis,Conservative,Ontario,Richmond Hill,Ontario (Richmond Hill),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,costas-menegakis
Pat Davidson,Pat Davidson,Conservative,Ontario,Sarnia—Lambton,Ontario (Sarnia—Lambton),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,pat-davidson
Bryan Hayes,Bryan Hayes,Conservative,Ontario,Sault Ste. Marie,Ontario (Sault Ste. Marie),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,bryan-hayes
Jim Karygiannis,Jim Karygiannis,Liberal,Ontario,Scarborough—Agincourt,Ontario (Scarborough—Agincourt),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,2014-04-01,,jim-karygiannis
Arnold Chan,Arnold Chan,Liberal,Ontario,Scarborough—Agincourt,Ontario (Scarborough—Agincourt),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,2014-06-30,arnold-chan
Roxanne James,Roxanne James,Conservative,Ontario,Scarborough Centre,Ontario (Scarborough Centre),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,roxanne-james
John McKay,John McKay (politician),Liberal,Ontario,Scarborough—Guildwood,Ontario (Scarborough—Guildwood),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,john-mckay
Dan Harris,Dan Harris (politician),NDP,Ontario,Scarborough Southwest,Ontario (Scarborough Southwest),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,dan-harris
Rathika Sitsabaiesan,Rathika Sitsabaiesan,NDP,Ontario,Scarborough—Rouge River,Ontario (Scarborough—Rouge River),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,rathika-sitsabaiesan
Kellie Leitch,Kellie Leitch,Conservative,Ontario,Simcoe—Grey,Ontario (Simcoe—Grey),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,kellie-leitch
Bruce Stanton,Bruce Stanton,Conservative,Ontario,Simcoe North,Ontario (Simcoe North),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,bruce-stanton
Rick Dykstra,Rick Dykstra,Conservative,Ontario,St. Catharines,Ontario (St. Catharines),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,rick-dykstra
Carolyn Bennett,Carolyn Bennett,Liberal,Ontario,St. Paul's,Ontario (St. Paul's),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,carolyn-bennett
Guy Lauzon,Guy Lauzon,Conservative,Ontario,Stormont—Dundas—South Glengarry,Ontario (Stormont—Dundas—South Glengarry),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,guy-lauzon
Glenn Thibeault,Glenn Thibeault,NDP,Ontario,Sudbury,Ontario (Sudbury),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,2015-01-05,,glenn-thibeault
Peter Kent,Peter Kent,Conservative,Ontario,Thornhill,Ontario (Thornhill),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,peter-kent
John Rafferty,John Rafferty (Canadian politician),NDP,Ontario,Thunder Bay—Rainy River,Ontario (Thunder Bay—Rainy River),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,john-rafferty
Bruce Hyer,Bruce Hyer,NDP,Ontario,Thunder Bay—Superior North,Ontario (Thunder Bay—Superior North),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,bruce-hyer
Charlie Angus,Charlie Angus,NDP,Ontario,Timmins—James Bay,Ontario (Timmins—James Bay),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,charlie-angus
Bob Raeh,Bob Rae,Liberal,Ontario,Toronto Centre,Ontario (Toronto Centre),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,2013-07-31,,bob-raeh
Chrystia Freeland,Chrystia Freeland,Liberal,Ontario,Toronto Centre,Ontario (Toronto Centre),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,2013-11-25,chrystia-freeland
Jack Laytoni,Jack Layton,NDP,Ontario,Toronto—Danforth,Ontario (Toronto—Danforth),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,2011-08-22,,jack-laytoni
Craig Scott,Craig Scott (politician),NDP,Ontario,Toronto—Danforth,Ontario (Toronto—Danforth),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,2012-03-19,craig-scott
Olivia Chow,Olivia Chow,NDP,Ontario,Trinity—Spadina,Ontario (Trinity—Spadina),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,2014-03-12,,olivia-chow
Adam Vaughan,Adam Vaughan,Liberal,Ontario,Trinity—Spadina,Ontario (Trinity—Spadina),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,2014-06-30,adam-vaughan
Julian Fantino,Julian Fantino,Conservative,Ontario,Vaughan,Ontario (Vaughan),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,julian-fantino
Malcolm Allen,Malcolm Allen (politician),NDP,Ontario,Welland,Ontario (Welland),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,malcolm-allen
Michael Chong,Michael Chong,Conservative,Ontario,Wellington—Halton Hills,Ontario (Wellington—Halton Hills),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,michael-chong
Jim Flaherty,Jim Flaherty,Conservative,Ontario,Whitby—Oshawa,Ontario (Whitby—Oshawa),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,2014-04-10,,jim-flaherty
Pat Perkins,Pat Perkins,Conservative,Ontario,Whitby—Oshawa,Ontario (Whitby—Oshawa),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,2014-11-17,pat-perkins
Chungsen Leung,Chungsen Leung,Conservative,Ontario,Willowdale,Ontario (Willowdale),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,chungsen-leung
Joe Comartin,Joe Comartin,NDP,Ontario,Windsor—Tecumseh,Ontario (Windsor—Tecumseh),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,joe-comartin
Brian Masse,Brian Masse,NDP,Ontario,Windsor West,Ontario (Windsor West),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,brian-masse
Mark Adler,Mark Adler (politician),Conservative,Ontario,York Centre,Ontario (York Centre),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,mark-adler
Peter Van Loan,Peter Van Loan,Conservative,Ontario,York—Simcoe,Ontario (York—Simcoe),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,peter-van-loan
Mike Sullivan,Mike Sullivan (Canadian politician),NDP,Ontario,York South—Weston,Ontario (York South—Weston),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,mike-sullivan
Judy Sgro,Judy Sgro,Liberal,Ontario,York West,Ontario (York West),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,judy-sgro
Lawrence MacAulay,Lawrence MacAulay,Liberal,Prince Edward Island,Cardigan,Prince Edward Island (Cardigan),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,lawrence-macaulay
Sean Casey,Sean Casey (Canadian politician),Liberal,Prince Edward Island,Charlottetown,Prince Edward Island (Charlottetown),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,sean-casey
Gail Shea,Gail Shea,Conservative,Prince Edward Island,Egmont,Prince Edward Island (Egmont),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,gail-shea
Wayne Easter,Wayne Easter,Liberal,Prince Edward Island,Malpeque,Prince Edward Island (Malpeque),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,wayne-easter
Roméo Saganash,Roméo Saganash,NDP,Quebec,Abitibi—Baie-James—Nunavik—Eeyou,Quebec (Abitibi—Baie-James—Nunavik—Eeyou),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,roméo-saganash
Christine Moore,Christine Moore (politician),NDP,Quebec,Abitibi—Témiscamingue,Quebec (Abitibi—Témiscamingue),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,christine-moore
Maria Mourani,Maria Mourani,Bloc Québécois,Quebec,Ahuntsic,Quebec (Ahuntsic),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,maria-mourani
Rosane Doré Lefebvre,Rosane Doré Lefebvre,NDP,Quebec,Alfred-Pellan,Quebec (Alfred-Pellan),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,rosane-doré-lefebvre
Mylène Freeman,Mylène Freeman,NDP,Quebec,Argenteuil—Papineau—Mirabel,Quebec (Argenteuil—Papineau—Mirabel),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,mylène-freeman
Louis Plamondon,Louis Plamondon,Bloc Québécois,Quebec,Bas-Richelieu—Nicolet—Bécancour,Quebec (Bas-Richelieu—Nicolet—Bécancour),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,louis-plamondon
Maxime Bernier,Maxime Bernier,Conservative,Quebec,Beauce,Quebec (Beauce),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,maxime-bernier
Anne Minh-Thu Quach,Anne Minh-Thu Quach,NDP,Quebec,Beauharnois—Salaberry,Quebec (Beauharnois—Salaberry),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,anne-minh-thu-quach
Raymond Côté,Raymond Côté,NDP,Quebec,Beauport—Limoilou,Quebec (Beauport—Limoilou),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,raymond-côté
Ruth Ellen Brosseau,Ruth Ellen Brosseau,NDP,Quebec,Berthier—Maskinongé,Quebec (Berthier—Maskinongé),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,ruth-ellen-brosseau
Denis Coderre,Denis Coderre,Liberal,Quebec,Bourassa,Quebec (Bourassa),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,2013-06-02,,denis-coderre
Emmanuel Dubourg,Emmanuel Dubourg,Liberal,Quebec,Bourassa,Quebec (Bourassa),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,2013-11-25,emmanuel-dubourg
Pierre Jacob,Pierre Jacob,NDP,Quebec,Brome—Missisquoi,Quebec (Brome—Missisquoi),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,pierre-jacob
Hoang Mai,Hoang Mai (politician),NDP,Quebec,Brossard—La Prairie,Quebec (Brossard—La Prairie),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,hoang-mai
Matthew Dubé,Matthew Dubé,NDP,Quebec,Chambly—Borduas,Quebec (Chambly—Borduas),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,matthew-dubé
Anne-Marie Day,Anne-Marie Day,NDP,Quebec,Charlesbourg—Haute-Saint-Charles,Quebec (Charlesbourg—Haute-Saint-Charles),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,anne-marie-day
Sylvain Chicoine,Sylvain Chicoine,NDP,Quebec,Châteauguay—Saint-Constant,Quebec (Châteauguay—Saint-Constant),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,sylvain-chicoine
Dany Morin,Dany Morin,NDP,Quebec,Chicoutimi—Le Fjord,Quebec (Chicoutimi—Le Fjord),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,dany-morin
Jean Rousseau,Jean Rousseau (politician),NDP,Quebec,Compton—Stanstead,Quebec (Compton—Stanstead),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,jean-rousseau
François Choquette,François Choquette,NDP,Quebec,Drummond,Quebec (Drummond),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,françois-choquette
Philip Toone,Philip Toone,NDP,Quebec,Gaspésie—Îles-de-la-Madeleine,Quebec (Gaspésie—Îles-de-la-Madeleine),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,philip-toone
Françoise Boivin,Françoise Boivin,NDP,Quebec,Gatineau,Quebec (Gatineau),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,françoise-boivin
Jean-François Fortin,Jean-François Fortin (politician),Bloc Québécois,Quebec,Haute-Gaspésie—La Mitis—Matane—Matapédia,Quebec (Haute-Gaspésie—La Mitis—Matane—Matapédia),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,jean-françois-fortin
Marjolaine Boutin-Sweet,Marjolaine Boutin-Sweet,NDP,Quebec,Hochelaga,Quebec (Hochelaga),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,marjolaine-boutin-sweet
Paulina Ayala,Paulina Ayala,NDP,Quebec,Honoré-Mercier,Quebec (Honoré-Mercier),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,paulina-ayala
Nycole Turmell,Nycole Turmel,NDP,Quebec,Hull—Aylmer,Quebec (Hull—Aylmer),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,nycole-turmell
Tyrone Benskin,Tyrone Benskin,NDP,Quebec,Jeanne-Le Ber,Quebec (Jeanne-Le Ber),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,tyrone-benskin
Francine Raynault,Francine Raynault,NDP,Quebec,Joliette,Quebec (Joliette),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,francine-raynault
Claude Patry,Claude Patry,NDP,Quebec,Jonquière—Alma,Quebec (Jonquière—Alma),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,claude-patry
Ève Péclet,Ève Péclet,NDP,Quebec,La Pointe-de-l'Île,Quebec (La Pointe-de-l'Île),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,Ève-péclet
Francis Scarpaleggia,Francis Scarpaleggia,Liberal,Quebec,Lac-Saint-Louis,Quebec (Lac-Saint-Louis),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,francis-scarpaleggia
Hélène LeBlanc,Hélène LeBlanc,NDP,Quebec,LaSalle—Émard,Quebec (LaSalle—Émard),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,hélène-leblanc
Marc-André Morin,Marc-André Morin,NDP,Quebec,Laurentides—Labelle,Quebec (Laurentides—Labelle),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,marc-andré-morin
Hélène Laverdière,Hélène Laverdière,NDP,Quebec,Laurier—Sainte-Marie,Quebec (Laurier—Sainte-Marie),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,hélène-laverdière
José Nunez-Melo,José Nunez-Melo,NDP,Quebec,Laval,Quebec (Laval),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,josé-nunez-melo
François Pilon,François Pilon,NDP,Quebec,Laval—Les Îles,Quebec (Laval—Les Îles),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,françois-pilon
Steven Blaney,Steven Blaney,Conservative,Quebec,Lévis—Bellechasse,Quebec (Lévis—Bellechasse),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,steven-blaney
Pierre Nantel,Pierre Nantel,NDP,Quebec,Longueuil—Pierre-Boucher,Quebec (Longueuil—Pierre-Boucher),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,pierre-nantel
Jacques Gourde,Jacques Gourde,Conservative,Quebec,Lotbinière—Chutes-de-la-Chaudière,Quebec (Lotbinière—Chutes-de-la-Chaudière),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,jacques-gourde
Denis Blanchette,Denis Blanchette,NDP,Quebec,Louis-Hébert,Quebec (Louis-Hébert),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,denis-blanchette
Alexandrine Latendresse,Alexandrine Latendresse,NDP,Quebec,Louis-Saint-Laurent,Quebec (Louis-Saint-Laurent),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,alexandrine-latendresse
Jonathan Genest-Jourdain,Jonathan Genest-Jourdain,NDP,Quebec,Manicouagan,Quebec (Manicouagan),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,jonathan-genest-jourdain
Alain Giguère,Alain Giguère,NDP,Quebec,Marc-Aurèle-Fortin,Quebec (Marc-Aurèle-Fortin),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,alain-giguère
Christian Paradis,Christian Paradis,Conservative,Quebec,Mégantic—L'Érable,Quebec (Mégantic—L'Érable),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,christian-paradis
Manon Perreault,Manon Perreault,NDP,Quebec,Montcalm,Quebec (Montcalm),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,manon-perreault
François Lapointe,François Lapointe (politician),NDP,Quebec,Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,Quebec (Montmagny—L'Islet—Kamouraska—Rivière-du-Loup),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,françois-lapointe
Jonathan Tremblay,Jonathan Tremblay,NDP,Quebec,Montmorency—Charlevoix—Haute-Côte-Nord,Quebec (Montmorency—Charlevoix—Haute-Côte-Nord),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,jonathan-tremblay
Irwin Cotler,Irwin Cotler,Liberal,Quebec,Mount Royal,Quebec (Mount Royal),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,irwin-cotler
Isabelle Morin,Isabelle Morin,NDP,Quebec,Notre-Dame-de-Grâce—Lachine,Quebec (Notre-Dame-de-Grâce—Lachine),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,isabelle-morin
Thomas Mulcairo,Thomas Mulcair,NDP,Quebec,Outremont,Quebec (Outremont),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,thomas-mulcairo
Justin Trudeaup,Justin Trudeau,Liberal,Quebec,Papineau,Quebec (Papineau),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,justin-trudeaup
Lysane Blanchette-Lamothe,Lysane Blanchette-Lamothe,NDP,Quebec,Pierrefonds—Dollard,Quebec (Pierrefonds—Dollard),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,lysane-blanchette-lamothe
Mathieu Ravignat,Mathieu Ravignat,NDP,Quebec,Pontiac,Quebec (Pontiac),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,mathieu-ravignat
Élaine Michaud,Élaine Michaud,NDP,Quebec,Portneuf—Jacques-Cartier,Quebec (Portneuf—Jacques-Cartier),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,Élaine-michaud
Annick Papillon,Annick Papillon,NDP,Quebec,Québec,Quebec (Québec),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,annick-papillon
Jean-François Larose,Jean-François Larose,NDP,Quebec,Repentigny,Quebec (Repentigny),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,jean-françois-larose
André Bellavance,André Bellavance,Bloc Québécois,Quebec,Richmond—Arthabaska,Quebec (Richmond—Arthabaska),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,andré-bellavance
Guy Caron,Guy Caron,NDP,Quebec,Rimouski-Neigette—Témiscouata—Les Basques,Quebec (Rimouski-Neigette—Témiscouata—Les Basques),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,guy-caron
Laurin Liu,Laurin Liu,NDP,Quebec,Rivière-des-Mille-Îles,Quebec (Rivière-des-Mille-Îles),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,laurin-liu
Pierre Dionne Labelle,Pierre Dionne Labelle,NDP,Quebec,Rivière-du-Nord,Quebec (Rivière-du-Nord),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,pierre-dionne-labelle
